MSR_Id;Lane;Direction;Latitude;Longitude;Name;Canton;Direction;Street 
CH:0070.02;lane2;negative;47.5569649;7.61459017;BASEL, SCHWARZWALDBR. (AB);BS;DEUTSCHLAND         ;A 2
CH:0229.01;lane1;positive;47.316021;7.94433308;OFTRINGEN E (AB);AG;ZUERICH;A 1
CH:0010.02;lane1;positive;46.6168976;8.56322289;HOSPENTAL S, ST. GOTTHARD;UR;BELLINZONA;H 2
CH:0211.01;lane1;positive;46.6518517;7.77477741;LEISSIGEN (TUNNEL) (AS);BE;INTERLAKEN;A 8
CH:0070.03;lane2;positive;47.5569763;7.61465931;BASEL, SCHWARZWALDBR. (AB);BS;AUGST               ;A 2
CH:0630.01;lane1;positive;46.8397141;9.58739281;CALFREISEN - GR211;GR;AROSA;H 566
CH:0601.04;lane2;negative;47.4276085;9.36228561;ST. GALLEN, SCHORENTUNNEL (AB);SG;A1 ZUERICH / ST.MARGRETHEN;A 1
CH:0044.01;lane1;negative;46.4645653;9.18580532;SAN BERNARDINO (TUNNEL);GR;CHUR                ;A 13
CH:0308.01;lane1;positive;47.1902924;8.83076477;LACHEN (AB);SZ;CHUR;A 3
CH:0070.04;lane1;positive;47.5569878;7.61470366;BASEL, SCHWARZWALDBR. (AB);BS;AUGST               ;A 2
CH:0076.01;lane1;negative;45.9648781;8.92612457;GRANCIA (AS);TI;LUGANO              ;A 2
CH:0270.02;lane2;positive;47.411602;8.57367039;ZUERICH - OERLIKON (AB) ZH 1301;ZH;WINTERTHUR;A 1L
CH:0308.02;lane2;positive;47.1903954;8.83080101;LACHEN (AB);SZ;CHUR;A 3
CH:0051.01;lane1;negative;45.8469658;8.93451118;STABIO;TI;MENDRISIO;H 394
CH:0813.03;lane1;positive;47.3997765;8.54818821;MILCHBUCK;ZH;ST. GALLEN;A 1L
CH:0188.02;lane1;positive;46.4645844;6.07313251;LA CURE;VD;SCHWEIZ;H 123
CH:0270.01;lane1;positive;47.4115105;8.57367325;ZUERICH - OERLIKON (AB) ZH 1301;ZH;WINTERTHUR;A 1L
CH:0053.03;lane2;negative;47.1270294;9.10202217;WEESEN, KERENZERBERG (AB);GL;ZUERICH;A 3
CH:0053.04;lane1;negative;47.1270599;9.10202408;WEESEN, KERENZERBERG (AB);GL;ZUERICH;A 3
CH:0547.03;lane1;positive;46.1619568;8.77346992;ASCONA GALLERIA;TI;BRISSAGO;A 13
CH:0844.03;lane3;positive;47.6910286;8.62188244;BAHNTAL GALGENBUCKTUNNEL;SH;SCHAFFHAUSEN;A 4
CH:0054.03;lane2;negative;47.3197746;8.5344677;ADLISWIL (AB);ZH;ZUERICH             ;A 3
CH:0054.04;lane1;negative;47.3197899;8.53450966;ADLISWIL (AB);ZH;ZUERICH             ;A 3
CH:0054.05;lane1;;47.3198128;8.53456116;ADLISWIL (AB);ZH;ZUERICH             ;A 3
CH:0055.01;lane1;;47.2122803;8.67181015;RICHTERSWIL (AB);ZH;ZUERICH             ;A 3
CH:0589.03;emergencyLane;positive;47.3484344;8.42644501;ANSCHLUSS BIRMENSDORF 1 (AB) - ZH1107;ZH;VERZW. ZUERICH WEST;A 3
CH:0589.01;lane2;positive;47.3484688;8.42651558;ANSCHLUSS BIRMENSDORF 1 (AB) - ZH1107;ZH;VERZW. ZUERICH WEST;A 3
CH:0055.04;lane2;negative;47.2119713;8.67235661;RICHTERSWIL (AB);ZH;ZUERICH             ;A 3
CH:0055.05;lane1;negative;47.2119865;8.67240238;RICHTERSWIL (AB);ZH;ZUERICH             ;A 3
CH:0601.03;lane1;negative;47.4275932;9.36221409;ST. GALLEN, SCHORENTUNNEL (AB);SG;A1 ZUERICH / ST.MARGRETHEN;A 1
CH:0281.03;lane1;positive;47.5230751;8.71537018;OHRINGEN ANSCHLUSS 1 (AB);ZH;ST. GALLEN          ;A 1
CH:0281.04;lane2;positive;47.5231094;8.71538353;OHRINGEN ANSCHLUSS 1 (AB);ZH;ST. GALLEN          ;A 1
CH:0589.02;lane1;positive;47.3484497;8.4264822;ANSCHLUSS BIRMENSDORF 1 (AB) - ZH1107;ZH;VERZW. ZUERICH WEST;A 3
CH:0844.02;lane2;positive;47.69104;8.62192631;BAHNTAL GALGENBUCKTUNNEL;SH;SCHAFFHAUSEN;A 4
CH:0516.01;lane1;positive;47.5301895;8.77277184;ANSCHLUSS OBERWINTERTHUR 1 (AB);ZH;ST.GALLEN;A 1
CH:0220.03;lane2;positive;47.4465523;8.24533749;MUELLIGEN, VERZW. A3/A1 (AB);AG;VERZW. A3/A1;A 3
CH:0220.02;lane1;positive;47.4465218;8.24532223;MUELLIGEN, VERZW. A3/A1 (AB);AG;VERZW. A3/A1;A 3
CH:0059.03;lane2;negative;46.9975243;6.95203161;TRAV. DE NEUCHATEL E (AR);NE;YVERDON             ;A 5
CH:0059.04;lane1;negative;46.9975586;6.95204258;TRAV. DE NEUCHATEL E (AR);NE;YVERDON             ;A 5
CH:0516.02;lane2;positive;47.5302162;8.77275181;ANSCHLUSS OBERWINTERTHUR 1 (AB);ZH;ST.GALLEN;A 1
CH:0285.05;lane2;negative;46.9557037;7.41752529;BERN, FORSTHAUS (AB);BE;VERWZ. A1/A12;A 1
CH:0285.06;lane1;negative;46.9557266;7.41748524;BERN, FORSTHAUS (AB);BE;VERWZ. A1/A12;A 1
CH:0285.07;lane2;negative;46.9557495;7.41744947;BERN, FORSTHAUS (AB);BE;VERWZ. A1/A12;A 1
CH:0285.08;lane1;negative;46.9557724;7.41741848;BERN, FORSTHAUS (AB);BE;VERWZ. A1/A12;A 1
CH:0511.02;lane2;positive;46.51577;6.50204992;MORGES CENTRE (AR);VD;LAUSANNE;A 1
CH:0511.01;lane1;positive;46.5157394;6.50207043;MORGES CENTRE (AR);VD;LAUSANNE;A 1
CH:0072.04;lane1;negative;47.3822136;8.11100578;HUNZENSCHWIL (AB);AG;BERN;A 1
CH:0076.02;lane2;negative;45.9648972;8.92616653;GRANCIA (AS);TI;LUGANO              ;A 2
CH:0064.04;lane3;negative;46.5458031;6.63147402;CONT. DE LAUSANNE (AR);VD;GENEVE;A 9
CH:0064.05;lane2;negative;46.5458183;6.63150501;CONT. DE LAUSANNE (AR);VD;GENEVE;A 9
CH:0064.06;lane1;negative;46.5458374;6.63154554;CONT. DE LAUSANNE (AR);VD;GENEVE;A 9
CH:0072.03;lane2;negative;47.382206;8.11104774;HUNZENSCHWIL (AB);AG;BERN;A 1
CH:0208.04;lane1;negative;47.4472237;8.24872875;BIRRHARD, VERZW. A1  (AB);AG;BERN;A 1
CH:0208.03;lane2;negative;47.4472008;8.24876213;BIRRHARD, VERZW. A1  (AB);AG;BERN;A 1
CH:0068.05;lane1;negative;46.2536125;6.13867188;COLOVREX-LAC (AR);GE;GENEVE              ;A 1
CH:0076.03;lane2;positive;45.9649773;8.9263258;GRANCIA (AS);TI;CHIASSO             ;A 2
CH:0619.04;lane1;positive;47.1989098;8.45948792;BLEGI S (AB);ZG;VERZW. A4/A14;A 4
CH:0066.06;lane2;negative;47.4056129;8.45954609;SCHLIEREN (AB);ZH;BERN                ;A 1
CH:0220.01;lane1;positive;47.4464188;8.24502659;MUELLIGEN, VERZW. A3/A1 (AB);AG;VERZW. A3/A1;A 3
CH:0067.02;lane1;negative;46.3392677;8.02156162;NATERS, BITSCH;VS;BRIG                ;H 19
CH:0068.06;lane2;negative;46.2536545;6.13869715;COLOVREX-LAC (AR);GE;GENEVE              ;A 1
CH:0066.05;lane3;negative;47.4055786;8.4595232;SCHLIEREN (AB);ZH;BERN                ;A 1
CH:0619.03;lane2;positive;47.1989326;8.45944786;BLEGI S (AB);ZG;VERZW. A4/A14;A 4
CH:0562.06;emergencyLane;positive;47.355175;8.42153168;BIRMENSDORF, HAFNERBERGTUNNEL (AB) - ZH1104;ZH;VERZW. ZUERICH WEST;A 4
CH:0562.05;lane1;positive;47.355175;8.4215889;BIRMENSDORF, HAFNERBERGTUNNEL (AB) - ZH1104;ZH;VERZW. ZUERICH WEST;A 4
CH:0587.02;lane1;positive;47.6557961;9.15947533;KREUZLINGEN, HAUPTZOLLAMT;TG;DEUTSCHLAND;A 7
CH:0587.03;lane2;positive;47.6558037;9.15943432;KREUZLINGEN, HAUPTZOLLAMT;TG;DEUTSCHLAND;A 7
CH:0066.07;lane1;negative;47.4056396;8.45957851;SCHLIEREN (AB);ZH;BERN                ;A 1
CH:0076.04;lane1;positive;45.9649887;8.92637253;GRANCIA (AS);TI;CHIASSO             ;A 2
CH:0077.03;lane1;negative;45.8399048;9.02125072;CHIASSO-BROGEDA (AS);TI;SCHWEIZ;A 2
CH:0562.04;lane2;positive;47.3551788;8.42164803;BIRMENSDORF, HAFNERBERGTUNNEL (AB) - ZH1104;ZH;VERZW. ZUERICH WEST;A 4
CH:0536.01;lane1;positive;46.5150642;6.69843864;LAUSANNE LA CROIX (AR);VD;VEVEY;A 9
CH:0068.07;lane1;negative;46.253788;6.13879681;COLOVREX-LAC (AR);GE;GENEVE              ;A 1
CH:0068.08;lane2;negative;46.2538071;6.13884163;COLOVREX-LAC (AR);GE;GENEVE              ;A 1
CH:0536.02;lane2;positive;46.5150909;6.6984601;LAUSANNE LA CROIX (AR);VD;VEVEY;A 9
CH:0337.01;lane1;positive;47.4266777;8.2351265;BIRRHARD (AB) - AG1406;AG;ZUERICH;A 1
CH:0337.02;lane2;positive;47.4266968;8.23507977;BIRRHARD (AB) - AG1406;AG;ZUERICH;A 1
CH:0502.01;lane1;positive;47.1273804;9.0692749;OBERURNEN, ZUBRINGER GLARNERLAND (AB);GL;A3 CHUR / RAPPERSWIL;A 17
CH:0189.03;lane1;positive;47.0680046;6.7674098;LE LOCLE E;NE;LA CHAUX-DE-FONDS;H 20
CH:0502.02;lane2;positive;47.1273651;9.06921577;OBERURNEN, ZUBRINGER GLARNERLAND (AB);GL;A3 CHUR / RAPPERSWIL;A 17
CH:0567.01;lane2;positive;47.3417435;8.45880699;DREIECK ZUERICH-WEST 2 (AB) - ZH1203;ZH;ZUERICH / CHUR;A 4
